Numero	Nom	Nom_recherche	Prenom	Autre_nom	Autre_prenom	Sexe	Dates_vie	Lieu_naiss	Date_naiss	Date_naiss_complete	Date_mort	Date_mort_complete	Musicien	S16	S17	S18	S19	S20	Vivant	Lettres	Profession	Domaine	Valdensia1	Valdensia2	Date_creation	Date_modification	Signature	Encours	Wikipedia	ArchiveBN
586	Walther	WALTHER	Jean			H	1806-1866		1806		1866		0	0	0	0	1	0	0	walt	calotypiste / 	calotype / négatif photographie	VDAC	 	10/09/1993	13/02/2010	BS	1	0	0
587	Warens	WARENS	Françoise-Louise de	Baronne Louise Eléonore de La Tour du Pil		F	1699-1762	Vevey	1699	1699.03.31	1762	1762.07.29	0	0	1	0	0	0	0	ware			VDAC	 	10/09/1993	06/06/2017	BS	1	0	0
588	Warnery	WARNERY	Charles-Emmanuel			H	1720-1786	Morges	1720	1720.03.13	1786	1786.05.08	0	0	0	1	0	0	0	warc	général-major / écrivain	littérature / vie militaire	ParVDAC	ParVDAS	10/09/1993	15/06/2016	BS	1	0	0
589	Weibel	WEIBEL	Walter			H	1924-2006	Saint Gall	1924	21/12/1924	2006	25/08/2006	0	0	0	0	0	1	0	weib	sculpteur / peintre / graveur	beaux-arts / sculpture / peinture / gravure	ParVDAC	VDAC	10/09/1993	17/06/2015	BS	1	0	0
590	Zurkinden	ZURKINDEN	Nikolaus			H			0		9999		0	0	0	0	0	0	0	zur					10/09/1993	14/07/2003		1	0	0
591	Zoss	ZOSS	Pascal			H	-1959		1959		9999		0	0	0	0	0	0	1	zos	peintre	beaux-arts / peinture	VDAC	 	10/09/1993	12/02/2010	BS	1	0	0
592	Zbinden	ZBINDEN	Julien-François			H	-1917		1917		9999		1	0	0	0	0	0	1	zbi	musicien / compositeur / ingénieur de son à la radio / pianiste	musique / composition / piano / radio	VDAC	 	10/09/1993	10/10/2012	SUK	0	0	0
593	Yersin	YERSIN	Albert-Edgar	Albert Yersin		H	1905-1984	Montreux 	1905	05/09/1905	1984	03/09/1984	0	0	0	0	0	1	0	yera	graveur / peintre	gravure / peinture	VDAC	 	10/09/1993	21/08/2015	BS	0	0	0
594	Weiss	WEISS	Franz Rudolf von	François-Rodolphe de Weiss		H	1751-1818		1751		1818		0	0	0	1	0	0	0	wei	général / écrivain / officier	armée / médiation / 1803	ParVDAS	ParVDAC	10/09/1993	14/02/2010	BS	1	0	0
595	Wirzburg de Vach	WIRZBURG DE VACH	Henri	 Henri Wirzcburg de Vach		H			0		9999		0	0	0	0	0	0	0	wirc	moine / imprimeur	imprimerie / livre			10/09/1993	08/09/2006		1	0	0
598	Bassin	BASSIN		Famille Bassin		-			0		9999		0	0	0	0	0	0	0	bas	famille		 	 	10/09/1993	09/06/2010	JH	1	0	0
599	Baud	BAUD		Famille Baud		-			0		9999		0	0	0	0	0	0	0	bau	famille		 	 	10/09/1993	27/07/2010	TD	1	0	0
600	Bonzon	BONZON		Famille Bonzon		-			0		9999		0	0	0	0	0	0	0	bonz	famille		 	 	10/09/1993	09/06/2010	JH	1	0	0
601	Caboussat	CABOUSSAT		Famille Caboussat		-			0		9999		0	0	0	0	0	0	0	cab	famille		 	 	10/09/1993	09/06/2010	JH	1	0	0
602	Cerjat, de	DE CERJAT		Famille de Cerjat		-			0		9999		0	0	0	0	0	0	0	cer	famille		 	 	10/09/1993	09/06/2010	JH	1	0	0
603	Cottier	COTTIER		Famille Cottier		-			0		9999		0	0	0	0	0	0	0	cot	famille		 	 	10/09/1993	09/06/2010	JH	1	0	0
604	Grandson, de	DE GRANDSON		Famille de Grandson		-			0		9999		0	0	0	0	0	0	0	gras	famille		 	 	10/09/1993	09/06/2010	JH	1	0	0
605	Rham, de	DE RHAM		Famille de Rham		-			0		9999		0	0	0	0	0	0	0	rha	famille		 	 	10/09/1993	09/06/2010	JH	1	0	0
606	Rochat	ROCHAT		Famille Rochat					0		9999		0	0	0	0	0	0	0	roc	famille		VDAC	 	10/09/1993	26/02/2015	BS	1	0	0
607	Secretan	SECRETAN		Famille Secretan - Famille Secrétan		-			0		9999		0	0	0	0	0	0	0	secj	famille		 	 	10/09/1993	22/08/2011	JH	1	0	0
608	Soutter	SOUTTER		Famille Soutter		-			0		9999		0	0	0	0	0	0	0	sou	famille		 	 	10/09/1993	09/06/2010	JH	1	0	0
609	Trey, de	DE TREY		Famille de Trey		-			0		9999		0	0	0	0	0	0	0	tre	famille		 	 	10/09/1993	09/06/2010	JH	1	0	0
610	Dumoulin	DUMOULIN	François Aimé Louis de			H	1753-1834	Vevey	1753	1753.08.10	1834	1834.02.16	0	0	0	1	0	0	0	dum	peintre	peinture / beaux-arts	VDAC	 	10/09/1993	08/11/2012	TD	1	0	0
611	Reverdil	REVERDIL	Marc-Louis			H	1734-1793?		1734		1793		0	0	0	1	0	0	0	rev	bibliothécaire / lecteur / diariste	bibliothèque / lecture / journal	VDAS		10/09/1993	18/03/2009	BS	1	0	0
612	Ribaupierre	RIBAUPIERRE	François de			H	1886-1981	Clarens	1886	1886.03.30	1981	24/02/1981	0	0	0	0	1	0	0	rib	artiste peintre / sculpteur / verrier	peinture / sculpture / verre / vitrail / art sacré	VDAC	 	10/09/1993	02/11/2013	BS	0	8	0
613	Verdeil	VERDEIL	François			H	1747-1832	Berlin  	1747	1747.10.15	1832	1832.01.17	0	0	0	1	0	0	0	ver	médecin / politicien	médecine / science / politique	VDAS	VDAC	10/09/1993	13/10/2014	BS	1	0	0
614	Vulliemin	VULLIEMIN	Louis	François-Louis Vuillemin		H	1797-1879	Yverdon	1797	1797.09.07	1879	1879.08.10	0	0	0	1	0	0	0	vul	 historien / théologien / pasteur / traducteur / enseignant Académie / bellettrien	histoire / théologie / traduction / enseignement / Académie / Société Belles-Lettres	VDAS	VDAC	10/09/1993	07/10/2016	BS	1	0	0
615	Vittoz	VITTOZ	Roger	Roger Henri Melling Vittoz	Roger Henri	H	1863-1925	Morges	1863	1863.05.06	1925	10/04/1925	0	0	0	0	1	0	0	vitr	médecin / psychothérapeute / psychosomaticien	médecine / psychothérapie / psychosomatique	VDAS	VDAC	10/09/1993	17/10/2013	BS	1	0	0
616	Yersin	YERSIN	Alexandre	Alexandre John Emile Yersin		H	1863-1943	La Vaux près d'Aubonne	1863	1863.09.22	1943	01/03/1943	0	0	0	0	1	0	0	yer	médecin / bactériologiste	médecine / bactériologie	VDAS	 	10/09/1993	30/03/2015	TD	1	0	0
617	Bonnard	BONNARD	André			H	1888-1959	Lausanne	1888	1888.08.16	1959	18/10/1959	0	0	0	0	1	0	0	bona	enseignant UNIL  / helléniste	enseignement / Université de Lausanne	VDAS	VDAC	10/09/1993	17/03/2016	BS	0	19	0
618	Kudelski	KUDELSKI	André			H	-1960		1960		9999		0	0	0	0	0	0	1	kud	ingénieur physicien / président et administrateur délégué de Kudelsky SA / industriel	physique	VDAS	 	10/09/1993	18/03/2010	BS	1	0	0
619	Veillon	VEILLON	Charles			H	1900-1971		1900		1971		0	0	0	0	0	1	0	vech	industriel / commerçant / instigateur de Prix littéraires	économie / commerce / vêtements / confection / prix littéraire	VDAS	 	10/09/1993	23/09/2011	BS	0	18	0
620	Caboussat	CABOUSSAT	Eric			H	-1948	Gland	1948	12/11/1948	9999		0	0	0	0	0	0	1	cab	facteur / éditeur / Cabédita	poste / édition / histoire 	VDAC	 	10/09/1993	03/12/2014	TD	0	18	0
621	Campiche	CAMPICHE	Michel			H	-1922	Lausanne	1922	05/08/1922	9999		0	0	0	0	0	0	1	camm	écrivain / historien / enseignant	littérature / histoire / enseignement	ParVDAC	VDAC	10/09/1993	20/10/2014	BS	0	7	0
622	Vallotton	VALLOTTON	Benjamin			H	1877-1962	Gryon	1877	1877.01.10	1962	19/05/1962	0	0	0	0	1	0	0	valb	écrivain / enseignant / journaliste / conférencier / bellettrien	littérature / enseignement / journalisme / Société Belles-Lettres	VDAC	VDAS	10/09/1993	03/03/2014	BS	0	8	0
623	Warnery	WARNERY	Henri			H	1859-1902		1859		1902		0	0	0	0	1	0	0	war	poète / théologien / enseignant / journaliste / écrivain	poésie / théologie / enseignement / journalisme / littérature	VDAC	 	10/09/1993	13/02/2010	BS	1	0	0
624	Court	COURT	Raymond			H	-1932		1932		2012		0	0	0	0	0	1	0	cour	trompettiste / menuisier	musicien / menuiserie	 	 	10/09/1993	25/06/2012	TD	1	0	0
625	Maillefer	MAILLEFER	Henri			H			0		9999		0	0	0	0	0	0	1	maih	facteur de clavecin	facture  clavecin	VDAS	 	10/09/1993	21/04/2010	BS	1	0	0
626	Heubach	HEUBACH	Jean-Pierre			H	1736-1799		1736		1799		0	0	0	1	0	0	0	heu	imprimeur / typographe / relieur / libraire	imprimerie / typographie / reliure / librairie	ParVDAC	ParVDAC	16/09/1993	03/08/2010	BS	1	0	0
627	Delhorbe	DELHORBE	Cécile-René	Cécile-René Delhorbe-Jaccottet		F	1892-1977		1892		1977		0	0	0	0	1	0	0	delc	critique littéraire / historienne	littérature / histoire			16/09/1993	06/12/2006		1	0	0
629	Aguet	AGUET	William			H	1892-1965	Paris	1892	1892.05.30	1965	30/10/1965	0	0	0	0	1	0	0	aguw	écrivain / comédien / auteur dramatique / commentateur à la radio / dialoguiste de film	littérature / poésie / théâtre / radio	VDAC	 	24/09/1993	21/08/2015	BS	0	0	0
630	Amiguet	AMIGUET	Philippe	Frédéric-Philippe Amiguet		H	1891-1974	Moudon	1891	1891.07.04	1974	27/11/1974	0	0	0	0	1	0	0	amif	écrivain / journaliste / pasteur / bellettrien	littérature / journalisme / religion / Société Belles-Lettres	VDAC	 	24/09/1993	09/10/2013	BS	0	1	0
631	Auberjonois	AUBERJONOIS		Famille Auberjonois					0		9999		0	0	0	0	0	0	0		famille		VDAC	 	24/09/1993	23/07/2010	TD	1	0	0
632	Ballif	BALLIF	Jean François Louis			H	17[,,]-1790		17		1790		0	0	0	1	0	0	0		enseignant Académie de Lausanne	philologie classique  grec / latin	VDAS	VDAC	24/09/1993	19/08/2010	BS	1	0	0
633	Farrère	FARRERE	Claude	Frédéric-Charles Bargone		H	1875-1925		1875		1925		0	0	0	0	1	0	0	farc	écrivain / romancier / historien	littérature / histoire			24/09/1993	11/07/2006		1	0	0
634	Baulmes (châtelains de)	BAULMES (Châtelains de)			NULL		1651-1672		0		9999		0	0	0	0	0	0	0						24/09/1993	30/09/1993		1	0	0
635	Bauty	BAUTY	Adolphe			H	1798-1880		1798		1880		0	0	0	1	0	0	0	baut	pasteur	théologie /  Eglise libre	VDAS	VDAC	24/09/1993	16/12/2010	BS	1	0	0
636	Bauty	BAUTY	Charles			H	18[,,]-1920		0		1920		0	0	0	0	1	0	0		pasteur	théologie	VDAS	VDAC	24/09/1993	29/08/2010	BS	1	0	0
637	Bergier	BERGIER	Jean-Guillaume			H	1763-1843		1763		1843		0	0	0	1	0	0	0		politicien	politique	VDAS	VDAC	24/09/1993	16/10/2013	BS	1	0	0
638	Berney	BERNEY	Philippe			H	1767-1839		1775		1839		0	0	0	1	0	0	0	berp	horloger / politicien / 	politique	VDAS	VDAC	24/09/1993	14/11/2013	BS	1	0	0
639	Bersier	BERSIER	Henri			H	1870-1941		1870	1870.05.17	1941	15/06/1941	0	0	0	0	1	0	0		politicien / bibliothécaire / municipal	politique / BCU / bibliothèque / municipalité	VDAS	VDAC	24/09/1993	19/10/2012	TD	0	2	0
641	Berthoud	BERTHOUD	Henri			H	1855-1904		1855		1904		0	0	0	0	1	0	0		 misionnaire / linguiste	mission / Transvaal	VDAS	VDAC	24/09/1993	19/09/2010	BS	1	0	0
644	Besançon	BESANÇON	Jules			H	1831-1897	Moudon	1831	1831.01.22	1897	1897.08.30	0	0	0	0	1	0	0	besn	pasteur / latiniste / écrivain / enseignant UNIL / bellettrien	théologie / littérature / philologie classique / Société Belles-Lettres	VDAS	VDAC	24/09/1993	10/01/2017	BS	1	0	0
645	Besson	BESSON	Jacques			H	1900-1975		1900		1975		0	0	0	0	0	1	0		pharmacien	bibliophilie / pharmacie	VDAS	VDAC	24/09/1993	20/09/2010	BS	1	0	0
646	Biaudet	BIAUDET	Abel			H	1840-1920		1840		1920		0	0	0	0	1	0	0		enseignant français UNIL	enseignement français UNIL	VDAS	VDAC	24/09/1993	20/09/2010	BS	1	0	0
647	Biéler	BIELER	Charles			H	1860-1946		1860		1946		0	0	0	0	1	0	0		enseignant   théologie UNIL	théologie / Académie / enseignement	VDAS	VDAC	24/09/1993	20/09/2010	BS	1	0	0
648	Cuénod	CUENOD	Michel			H	-1933		1933		9999		0	0	0	0	0	0	1	cuem	médecin /physiologue / psychiatre / enseignant	médecine / physiologie / psychiatrie / enseignement	TempVDA		30/09/1993	06/04/2009	TD	1	0	0
649	Tappy	TAPPY	José-Flore			F	-1954		1954	05/01/1954	9999		0	0	0	0	0	0	1	tapj	écrivain / poète / traducteur / CRLR / Jaccottet	littérature / poésie / traduction / CRLR / Jaccottet / Pleiade	VDAC	 	03/12/1993	22/10/2014	TD	0	8	0
650	Bovard	BOVARD	Valérie			F			0		9999		0	0	0	0	0	0	1	bovv	animatrice télévision / météo	Miss Suisse août 1992	VDAS	 	20/12/1993	09/03/2011	BS	1	0	0
651	Chenaux	CHENAUX	Antoine			H	1899-1991	Villeneuve	1899	1899.05.05	1991	02/01/1991	1	0	0	0	1	0	0	chen	musicien / compositeur / organiste / ingénieur	musique / composition / orgue /  géophysique	VDAC	VDAS	20/12/1993	10/02/2014	FRU	0	6	0
652	Christen	CHRISTEN	Yves			H	-1941		1941		9999		0	0	0	0	0	0	1	chr	président du Conseil national (2002-)	politique (Radical)	VDAS		20/12/1993	03/04/2009	TD	1	0	0
653	Cuendet	CUENDET	Olivier			H	-1953	Lausanne	1953	06/11/1953	9999		1	0	0	0	0	0	1	cueo	musicien / chef d'orchestre / directeur de conservatoire / compositeur / arrangeur / peintre	musique / direction d'orchestre / direction de conservatoire / composition / arrangement / peinture	 	 	20/12/1993	10/02/2014	FRU	0	6	0
654	Gonzalez	GONZALEZ	René			H	1943-2012	Paris	1943	18/04/2012	9999		0	0	0	0	0	1	0	gonr	directeur / Théâtre Vidy-Lausanne (1991-2012)	théâtre	ParVDAC	 	20/12/1993	03/09/2014	BS	1	0	0
655	Krähenbühl	KRAEHENBUEHL	Claire		Claire Krähenbühl	F	-1942	Yverdon-les-Bains	1942	03/09/1942	9999		0	0	0	0	0	0	1	kral	artiste / poète / écrivain	beaux-arts / poésie / littérature	VDAC	 	20/12/1993	26/11/2014	TD	0	15	0
656	Laverrière	LAVERRIERE	Alphonse			H	1872-1954	Carouge	1872	1872.05.16	1954	11/03/1954	0	0	0	0	1	0	0	lav	architecte	architecture	ParVDAC	VDAC	20/12/1993	28/10/2013	BS	0	0	0
657	Lorétan	LORETAN	Jean-Marc			H	1940-1993	Sion	1940	07/11/1940	1993	03/10/1993	0	0	0	0	0	1	0	lor	écrivain / poète	littérature / poésie	ParVDAC	 	20/12/1993	23/10/2013	BS	0	16	0
658	Monod	MONOD	Henri	Monod, Henri-Joël-Emmanuel		H	1753-1833	Morges	1753	1753.01.20	1833	1833.09.16	0	0	0	1	0	0	0	mono	avocat / préfet / landammann	politique / 1803	VDAS	VDAC	20/12/1993	18/03/2016	BS	1	0	0
659	Petit de Voize	PETIT DE VOIZE	Yves			H	1948?-		1948		9999		0	0	0	0	0	0	1		directeur revue Diapason	musique  / Festival de Montreux	TempVDA	 	20/12/1993	03/04/2010	BS	1	0	0
660	Rosat	ROSAT	Anne	Anne Rosat-Colin		F	-1935	Ferrière (Belgique)	1935	01/08/1935	9999		0	0	0	0	0	0	1	rosa	artiste / institutrice	découpage / enseignement	ParVDAC	VDAC	20/12/1993	22/08/2016	BS	0	18	0
661	Ruchonnet	RUCHONNET	Louis	Antoine Louis John Ruchonnet		H	1834-1893	Lausanne	1834	1834.04.28	1893	1893.09.14	0	0	0	0	1	0	0	rucl	conseiller fédéral / avocat / bellettrien	politique (radical) / droit / Société Belles-Lettres	VDAS	VDAC	20/12/1993	11/12/2014	BS	0	20	0
663	Stern	STERN	Christophe			H	-1959		1959		9999		0	0	0	0	0	0	1	stec	peintre / graveur animalier / sculpteur	peinture / gravure / sculpture	ParVDAC	 	20/12/1993	13/03/2010	BS	1	0	0
664	Udry	UDRY	Charles-André			H	-1944		1944		9999		0	0	0	0	0	0	1	udr	sociologue / économiste / syndicaliste /membre de la coordination nationale du mouvement ATTAC	sociologie / économie / syndicalisme	ParVDAS	 	20/12/1993	04/03/2010	BS	1	0	0
665	Piguet	PIGUET	Paul			H	1891-1981		1891		1981		1	0	0	0	1	0	0	pig	compositeur / critique musical / musicien	musique	VDAC	 	18/04/1994	19/06/2012	CM	0	0	0
666	Hahnemann	HAHNEMANN	Paul			H	1853-1933	Erfurt	1853	1853/04/19	1933	18/01/1933	1	0	0	0	1	0	0		musicien / directeur de choeur / pianiste / enseignant	musique / direction de choeur / piano / enseignement	VDAC	 	18/04/1994	06/03/2015	FRU	0	0	0
667	Silvant	SILVANT	François			H	1949-2007		1949		2007		0	0	0	0	0	1	0	sil	humoriste / comédien	théâtre / Petit Silvant illustré	VDAC	 	18/04/1994	31/10/2011	BS	0	22	0
668	Gaudibert	GAUDIBERT	Eric			H	1936-2012	Vevey	1936	21/12/1936	2012	29/06/2012	1	0	0	0	0	1	0	gaue	musicien / compositeur 	musique / composition	VDAC	 	18/04/1994	11/09/2014	VM	0	6	0
670	Musy	MUSY	Gilbert			H	1944-1999		1944		1999		0	0	0	0	0	1	0	mus	écrivain / traducteur / député	littérature / traduction / télévision	VDAC	VDAS	18/04/1994	24/07/2011	BS	0	15	0
671	Blaser	BLASER	Emmanuella			F	-1945		1945		9999		0	0	0	0	0	0	1	blaem	femme politique / syndique  Tour-de-Peilz	politique / députée Conseil National 1995-1999	VDAS	 	18/04/1994	26/09/2010	BS	1	0	0
672	Cornu	CORNU	Jacques			H	-1953		1953		9999		0	0	0	0	0	0	1	cor	sportif / champion / pilote / motocycliste	sport / championnat du monde / motocyclisme	TempVDA		18/04/1994	06/04/2009	TD	1	0	0
673	Rochat	ROCHAT	Valérie			F			0		1999		0	0	0	0	0	0	1	rocv	comédienne / actrice / metteur en scène	théâtre /  Compagnie du Clédard	VDAC	 	18/04/1994	21/03/2010	BS	1	0	0
674	Rochat	ROCHAT	Alain			H	-1961		1961		9999		0	0	0	0	0	0	1	roa	écrivain / éditeur / poète	littérature / édition / poésie	VDAC	 	18/04/1994	27/05/2011	BS	0	8	0
675	Roll	ROLL	Jean			H	-1921		1921		9999		0	0	0	0	0	0	1	rol	artiste peintre / graphiste / verrier / dessinateur / enseignant	beaux-arts / peinture / graphisme / vitrail / scénographie / dessin / enseignement	ParVDAC	 	18/04/1994	21/03/2010	BS	1	0	0
676	Lichtenthaeler	LICHTENTHAELER	Charles			H	1915-1993	Lausanne	1915	31/08/1915	1993	18/05/1993	0	0	0	0	0	1	0	lic	médecin	médecine	ParVDAS	 	18/04/1994	23/10/2013	BS	1	0	0
677	Cuneo	CUNEO	Anne			F	1936-2015	Paris	1936	06/09/1936	9999	11/02/2015	0	0	0	0	0	1	0	cun	metteur-en-scène / journaliste / traducteur / écrivain / cinéaste / réalisateur	littérature / théâtre / traduction / journalisme / cinéma	ParVDAC	 	18/04/1994	06/04/2016	BS	0	11	0
678	Snozzi	SNOZZI	Luigi			H	-1932		1932		9999		0	0	0	0	0	0	1	sno	architecte / enseignant EPFL	architecture / enseignement	TempVDA	 	18/04/1994	01/07/2009	BS	1	0	0
679	Haskil	HASKIL	Clara			F	1895-1960	Bucarest	1895	1895/01/07	1960	07/12/1960	1	0	0	0	1	0	0	has	musicien / pianiste	musique / piano	ParVDAC	 	18/04/1994	28/08/2013	TD	0	0	0
680	Dobay	DOBAY	Andreas			H	-1948		1948		9999		0	0	0	0	0	0	1	dob	artiste	beaux-arts	TempVDA		18/04/1994	04/12/2008	BS	1	0	0
681	Ménassé	MENASSE	Isaac			H	-1925		1925		9999		0	0	0	0	0	0	1	meni	homme d'affaires / président de la Communauté israélite de Lausanne	économie / commerce / religion / judaïsme	ParVDAS	 	18/04/1994	19/06/2010	BS	1	0	0
682	Nabokov	NABOKOV	Vladimir			H	1899-1977	Saint-Pétersbourg	1899	1899.04.23	1977	02/07/1977	0	0	0	0	1	0	0	nab	écrivain américain d'origine russe	littérature	TempVDA	VDAC	18/04/1994	25/11/2016	BS	1	0	0
683	Nicod	NICOD	Placide			H	1876-1953	Bottens	1876	1876.01.29	1953	01/08/1953	0	0	0	0	1	0	0	nico	médecin / orthopédiste / enseignant UNIL	médecine / orthopédie / enseignement / UNIL	VDAS	VDAC	19/04/1994	28/10/2013	BS	0	20	0
684	Jaccard	JACCARD	André			H	-1941	Lausanne	1941	15/12/1941	9999		0	0	0	0	0	0	1	jacd	poète / artiste / littérature	poésie / beaux-arts  	VDAC	 	19/04/1994	09/11/2012	TD	1	0	0
685	Masini	MASINI	Mario			H	-1943	Lausanne	1943	27/11/1943	9999		0	0	0	0	0	0	1	masm	artiste peintre plasticien / graveur / Livre d'artiste	peinture / beaux-arts / Livre d'artiste	VDAC	 	19/04/1994	28/10/2016	BS	1	0	0
686	Ballmoos	BALLMOOS	Kurt von			H	1934-2016	Berne	1934	26/02/1934	9999	19/06/2016	0	0	0	0	0	1	0	balk	peintre / photographe / décorateur de théâtre / illustrateur	peinture / photographie / décoration / aquarelle / caricature	ParVDAC	VDAC	12/06/1995	04/10/2016	BS	1	0	0
687	Beguin	BEGUIN	Roland			H	-1955		1955		9999		0	0	0	0	0	0	1	beg	verrier d'art	vitrail /  verre	ParVDAC	 	12/06/1995	30/08/2010	BS	1	0	0
688	Bercher	BERCHER	Jules-Olivier			H	1925-1993	Lausanne	1925	30/07/1925	1993	21/01/1993	0	0	0	0	0	1	0	berc	peintre / graveur / bellettrien	peinture / gravure / Société Belles-Lettres	VDAC	 	12/06/1995	24/10/2012	TD	1	0	0
689	Bettex	BETTEX	Pascal			H	-1953		1953		9999		0	0	0	0	0	0	1	bet	créateur de mobiles / sculpteur	mobiles / sculpture	ParVDAC	VDAC	12/06/1995	20/09/2010	BS	1	0	0
690	Boehler	BOEHLER	Joe	 Jean-Marie		H	-1945		1945		9999		0	0	0	0	0	0	1	boe	peintre / sculpteur / dessinateur / graveur / vidéo	peinture / sculpture / dessin	ParVDAC	VDAC	12/06/1995	26/09/2010	BS	1	0	0
691	Bovard	BOVARD	Daniel			H	-1957		1957		9999		0	0	0	0	0	0	1	bovd	photographe / cinéaste / réalisateur	photographie / cinéma 	VDAC	 	12/06/1995	02/11/2009	BS	1	0	0
692	Breguet	BREGUET	Abraham-Louis			H	1747-1823		1747		1823		0	0	0	0	0	0	0	bre	horloger	horlogerie	TempVDA	 	12/06/1995	02/11/2009	BS	1	0	0
693	Cailler	CAILLER	Pierre			H	1901-1971		1901		1971		0	0	0	0	0	1	0	cai	éditeur d'art	édition d'art			12/06/1995	22/06/2004		1	0	0
694	Cantero	CANTERO	Serge	Sergio Cantero Alfaro		H	-1962	Lausanne	1962	13/03/1962	9999		0	0	0	0	0	0	1	can	peintre / enseignant / dessinateur / graveur / écrivain 	gravure / sculpture / peinture / enseignement / littérature	ParVDAC	 	12/06/1995	05/11/2014	BS	0	0	0
695	Chandieu	CHANDIEU	Benjamin de			H	1701-1784		1701		1784		0	0	0	1	0	0	0	chab	gentilhomme / militaire	armée / service de France			12/06/1995	12/09/2006		1	0	0
696	Chaudet	CHAUDET	Paul			H	1904-1977	Rivaz	1904	17/11/1904	1977	07/08/1977	0	0	0	0	0	1	0	chau	conseiller fédéral	politique  / parti radical	VDAS	 	12/06/1995	22/10/2014	TD	1	0	0
697	Chuard	CHUARD	Jean-Pierre			H	1928-1992		1928	21/05/1928	1992	07/12/1992	0	0	0	0	0	1	0	chua	journaliste / enseignant / officier / historien	journalisme / enseignement / militaire / histoire	VDAS	VDAC	12/06/1995	09/06/2013	BS	0	20	0
698	Cornuz	CORNUZ	Jeanlouis			H	1922-2007		1922	17/02/1922	2007	14/10/2007	0	0	0	0	0	1	0	corj	écrivain / enseignant	littérature / enseignement	VDAC	 	12/06/1995	04/10/2016	BS	0	11	0
699	Debluë	DEBLUE	François			H	-1950	Pully	1950	04/03/1950	9999		0	0	0	0	0	0	1	debf	écrivain / poète / enseignant	littérature / poésie / enseignement	VDAC	 	12/06/1995	14/10/2016	BS	0	6	0
700	Debrot	DEBROT	Samuel			H	1925-2013		1905		9999	31/07/2013	0	0	0	0	0	1	0	debr	vétérinaire	animaux / protection des animaux	VDAS	 	12/06/1995	09/08/2013	BS	1	0	0
701	Déray	DERAY	Emmanuel			H	-1958		1958		9999		0	0	0	0	0	0	1	dere	Trompettiste	musique			12/06/1995	27/09/2005		1	0	0
702	Dimitrijevic	DIMITRIJEVIC	Vladimir			H	1934-2011	Skopje	1934	28/03/1934	2011	28/06/2011	0	0	0	0	0	1	0	dim	libraire / éditeur	librairie / édition	ParVDAC	VDAC	12/06/1995	25/03/2014	STAG1	0	18	0
703	Doyer	DOYER	Lysbeth			F	1906		0	07/02/1906	9999	14/12/1933	0	0	0	0	0	0	0	doy	sculpteur	sculpture arts plastiques	 	 	12/06/1995	08/11/2012	TD	1	0	0
704	Dufour	DUFOUR		Famille Dufour					0		9999		0	0	0	0	0	0	0	dufo	famille		 	 	12/06/1995	09/06/2010	JH	1	0	0
705	Favre	FAVRE		Famille Favre					0		9999		0	0	0	0	0	0	0	favf	famille		 	 	12/06/1995	09/06/2010	JH	1	0	0
706	Félix	FELIX	André	André Robert Félix		H	1927-2006	Lausanne	1927	01/11/1927	2006	25/03/2006	0	0	0	0	0	0	0	feli	entrepreneur / industriel / inventeur / architecte	construction / construction métallique / aluminium / architecture / art / invention	VDAS	VDAC	12/06/1995	08/11/2012	TD	1	0	0
707	Fivat	FIVAT	Jean-Marc			H	-1955		1955		9999		0	0	0	0	0	0	1	fiv	photographe	photographie	VDAC		12/06/1995	10/07/2008	BS	1	0	0
708	Félix	FELIX	Monique			F	-1950		1950		9999		0	0	0	0	0	0	1	felm	illustratrice / dessinatrice	illustration / livre	VDAC		12/06/1995	06/04/2009	TD	1	0	0
709	Fruttiger	FRUTTIGER	Willy	Willy-René Fruttiger		H	-1918		1918		9999		0	0	0	0	0	0	1	fru		psychologie / poupées	ParVDAS		12/06/1995	06/04/2009	TD	1	0	0
710	Gardaz	GARDAZ	Sophie			F	-1962		1962		9999		0	0	0	0	0	0	1	garz	comédienne / directrice du théâtre pour jeune public (2005-)	théâtre	VDAC		12/06/1995	06/04/2009	TD	1	0	0
711	Grasset	GRASSET	Eugène-Samuel			H	1845-1917	Lausanne	1845	1845.06.25	1917	23/10/1917	0	0	0	0	1	0	0	grae	peintre / dessinateur / graveur / décorateur / verrier / faïencier / mosaïste / céramiste / sculpteur / peintre d'affiches / ornemaniste / enseignant	peinture / beaux-arts	VDAC	 	12/06/1995	09/11/2012	TD	0	17	0
712	Gressot	GRESSOT	Bernard			H	-1935		1935	06/04/1935	9999		0	0	0	0	0	0	1	greb	artiste peintre / sculpteur / publicitaire / affichiste	peinture / dessin / sculpture / affiche	ParVDAC	 	12/06/1995	09/11/2012	TD	1	0	0
713	Helfer	HELFER	Emile			H	1914-1974	Fribourg	1914	06/10/1914	1974	02/08/1974	0	0	0	0	0	1	0	hel	artiste peintre	beaux-arts / peinture	ParVDAC	 	12/06/1995	04/11/2013	STAG1	1	0	0
714	Heller	HELLER	Henri Charles Marian de	Tappy de Heller		H	1904-1977		1904		1977		0	0	0	0	0	1	0	helh	architecte	architecture	ParVDAC	 	12/06/1995	07/03/2010	BS	1	0	0
