Numero	Nom	Nom_recherche	Prenom	Autre_nom	Autre_prenom	Sexe	Dates_vie	Lieu_naiss	Date_naiss	Date_naiss_complete	Date_mort	Date_mort_complete	Musicien	S16	S17	S18	S19	S20	Vivant	Lettres	Profession	Domaine	Valdensia1	Valdensia2	Date_creation	Date_modification	Signature	Encours	Wikipedia	ArchiveBN
4606	Aeby	AEBY	Jaqueline		Jaqueline Aeby-Stadelmann	F	1930-2009		1930		2009		0	0	0	0	0	1	0	aeb	écrivain	littérature	VDAC	 	28/06/2005	05/09/2017	BS	1	0	0
4607	Jobin-Viret	JOBIN-VIRET	Christophe			H	-1957		1957		9999		0	0	0	0	0	0	1		illustrateur / graphiste / rédacteur / peintre	beaux-arts / peinture / graphisme	ParVDAC	 	28/06/2005	20/07/2010	TD	1	0	0
4610	Abravanel	ABRAVANEL	Maren			F	-1938		1938		9999		0	0	0	0	0	0	1		libraire	livre	ParVDAC		29/06/2005	05/01/2009	BS	1	0	0
4611	Feschotte	FESCHOTTE	Pierre			H	1930-2005		1930		2005		0	0	0	0	0	1			enseignant / chimie / UNIL	chimie / enseignement			29/06/2005	11/07/2006		1	0	0
4612	Pache	PACHE		Famille Pache					0		9999		0	0	0	0	0	0	0		famille		 	 	29/06/2005	09/06/2010	JH	1	0	0
4613	Pittet	PITTET	Frédéric			H	-1979		1979		9999		0	0	0	0	0	0	1		cinéaste / réalisateur	cinéma	VDAC		29/06/2005	25/05/2009	BS	1	0	0
4614	Cottier	COTTIER	Eric			H	-1959		1959		9999		0	0	0	0	0	0	1		procureur	droit	VDAS		30/06/2005	06/04/2009	TD	1	0	0
4615	Emmenegger	EMMENEGGER	Roger			H			0		9999		0	0	0	0	0	0	1		photolithographe	graphisme	ParVDAC		30/06/2005	06/04/2009	TD	1	0	0
4618	Margot	MARGOT	François			H	-1955		1955		9999		1	0	0	0	0	0	1	mafr	pianiste / organiste / compositeur / musicien	musique / piano	VDAC	 	01/07/2005	19/06/2012	CM	0	0	0
4621	Cérenville	CERENVILLE	Roger de			H	1881-1960		1881		1960		0	0	0	0	1	0	0		banquier / diplomate / bellettrien	banque / finance / diplomatie / Société Belles-Lettres			05/07/2005	20/04/2006		1	0	0
4622	Michaud	MICHAUD	Jules			H	1848-1920		1848		1920		0	0	0	0	1	0	0		ingénieur	ingénierie	VDAS	VDAC	05/07/2005	30/05/2010	BS	1	0	0
4623	Dufour	DUFOUR	Jean-Henri			H	1877-1966		1877		1966		0	0	0	0	1	0	0		ingénieur	ingénierie			05/07/2005	19/06/2006		1	0	0
4624	Corthey	CORTHEY	Adolphe			H	1834-1900		1834		1900		0	0	0	0	1	0	0		auteur dramatique /  dramaturge	théâtre			05/07/2005	05/07/2005		1	0	0
4625	Larguires Des Bancels								0		9999		0	0	0	0	0	0	0						05/07/2005			1	0	0
4626	Beck-Bernard	BECK-BERNARD	Amélie-Lina			F			0		9999		0	0	0	0	0	0	0		auteur dramatique / dramaturge	théâtre	TempVDA	 	05/07/2005	29/08/2010	BS	1	0	0
4627	Larguier des Bancels	LARGUIER DES BANCELS	Jean		 Jean (-Frédéric-Georges) Larguier des Bancels	H	1876-1961		1876	1876.04.03	1961	08/05/1961	0	0	0	0	1	0	0	lar	biologiste / enseignant UNIL / bellettrien / psychologue	biologie / enseignement / société Belles-Lettres psychologie	VDAS	VDAC	05/07/2005	19/10/2012	TD	0	5	0
4630	Rohrer	ROHRER	Henri			H	1893-1955	Yverdon	1893	1893.12.21	1955	20/08/1955	0	0	0	0	1	0	0		journaliste / chroniqueur / rédacteur / bellettrien	journalisme / Société Belles-Lettres	VDAS	VDAC	06/07/2005	20/01/2017	BS	1	0	0
4632	Seylaz	SEYLAZ	Louis			H	1882-1963		1882		1963		0	0	0	0	1	0	0		enseignant / bellettrien	enseignement / littérature / Société Belles-Lettres / montagne	VDAS	VDAC	06/07/2005	13/03/2010	BS	1	0	0
4634	Favey	FAVEY	Edouard			H	1879-1926		1879		1926		0	0	0	0	1	0	0		avocat / bellettrien	loi / administration judiciaire / Société Belles-Lettres			07/07/2005	20/04/2006		1	0	0
4637	Freymond	FREYMOND	Arthur			H	1879-1970		1879		1970		0	0	0	0	1	0	0		enseignant / politicien / bellettrien	enseignement / politique / Société Belles-Lettres	VDAS	ParVDAC	11/07/2005	30/06/2010	BS	1	0	0
4643	Bocksberger	BOCKSBERGER	Olivier Jean			H	1925-1970		1925		1970		0	0	0	0	0	1	0		enseignant / bellettrien	archéologie / enseignement / Société Belles-Lettres	VDAS	 	11/07/2005	26/09/2010	BS	1	0	0
4644	Venel	VENEL	Jean-François-Henri			H	1780-1855		1780		1855		0	0	0	1	0	0	0	venj	géographe	géographie	VDAS	 	11/07/2005	15/02/2010	BS	1	0	0
4645	Dentan	DENTAN	Pierre-André			H	1920-1970		1920		1970		0	0	0	0	0	1	0		rédacteur / politicien / bellettrien	presse / politique / Société Belles-Lettres	VDAS	 	11/07/2005	27/03/2011	BS	1	0	0
4648	Bauty	BAUTY	Edouard			H	1874-1968	Lausanne	1874	1874.04.13	1968	04/08/1968	0	0	0	0	1	0	0		journaliste / peintre / bellettrien	presse / peinture / Société Belles-Lettres / journalisme	VDAC	 	11/07/2005	24/10/2012	TD	1	0	0
4650	Wilhem	WILHEM	Daniel			H	-1944		1944		9999		0	0	0	0	0	0	1		critique littéraire / écrivain	critique littéraire / littérature	ParVDAC	 	12/07/2005	14/02/2010	BS	1	0	0
4651	Favey	FAVEY	Georges		Georges-Henri	H	1847-1919		1847	1847.09.24	1919	26/05/1919	0	0	0	0	1	0	0		avocat / enseignant UNIL	droit / enseignement	VDAS	VDAC	12/07/2005	19/10/2012	TD	0	7	0
4653	Ferrari	FERRARI	Eugène			H	1898-1961		1898		1961		0	0	0	0	1	0	0		pasteur / bellettrien	théologie / protestantisme / Société Belles-Lettres			12/07/2005	19/06/2006		1	0	0
4654	Gex	GEX	Samuel			H	1881-1967		1881		1967		0	0	0	0	1	0	0		journaliste / bellettrien	presse / Société Belles-Lettres	VDAS	VDAC	12/07/2005	08/06/2011	BS	1	0	0
4655	Jaccottet	JACCOTTET	Maurice		Jean-Ernest	H	1894-1966		1894		1966		0	0	0	0	1	0	0		médecin	médecine / pédiatrie / enseignement	VDAS	 	12/07/2005	13/07/2010	BS	1	0	0
4657	Maillard	MAILLARD	Edouard			H	1891-1967		1891		1967		0	0	0	0	1	0	0		avocat / bellettrien	droit / politique / Société Belles-Lettres	VDAS	VDAC	12/07/2005	21/04/2010	BS	1	0	0
4658	Matthey	MATTHEY	Hubert			H	1874-1962		1874		1962		0	0	0	0	1	0	0		enseignant / bellettrien	enseignement / Société Belles-Lettres			12/07/2005	21/04/2006		1	0	0
4659	Métraux	METRAUX	Paul			H	1879-1965		1867		1965		0	0	0	0	1	0	0		"pasteur / bellettrien / journaliste / rédacteur ""Semeur"""	théologie / protestantisme / Société Belles-Lettres	VDAS	VDAC	12/07/2005	19/06/2010	BS	1	0	0
4661	Miéville	MIEVILLE	Maurice-Adrien de			H	1879-1970		1879		1970		0	0	0	0	1	0	0		ingénieur / bellettrien	constructions ferroviaires / Société Belles-Lettres	VDAS	VDAC	12/07/2005	27/05/2010	BS	1	0	0
